Vernier Format 2
biela-manivela-20Hz-22-05-2024.cmbl 22/04/2025 11:31:55 .
Último
Tiempo	Angulo	Velocidad 1	Aceleración 1	Posición	Velocidad 2	Aceleración 2
t	Angulo	v 1	a 1	x	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

3.95	-20.4552588334	-5.080847378	3.94853809312	0.383131	0.140725277778	-1.22220216049
4	-20.6996049287	-4.84813681078	4.91816545488	0.3884475	0.0753647222222	-1.19938842593
4.05	-20.9439510239	-4.54755232861	4.61650360719	0.390334	0.0168641666667	-1.0846845679
4.1	-21.1533905342	-4.29544921456	2.35942658151	0.389648	-0.0317275	-0.990041975309
4.15	-21.3628300444	-4.26636039339	-0.808022803642	0.3870755	-0.0778419444444	-0.97755
4.2	-21.5722695546	-4.41180449811	-3.2967330363	0.382102	-0.1277675	-1.00385725309
4.25	-21.7991623574	-4.67360388628	-4.2286526658	0.3743845	-0.179598611111	-1.00560401235
4.3	-22.0435084527	-4.87722563233	-4.26636039293	0.3640945	-0.230476944444	-0.952936574074
4.35	-22.287854548	-5.07115110461	-4.86429726414	0.351232	-0.278020555556	-0.814042746914
4.4	-22.5496539358	-5.30386167133	-6.60962651583	0.3359685	-0.316893888889	-0.537260802469
4.45	-22.8114533236	-5.691712616	-8.85592990682	0.31899	-0.339951111111	-0.0475859567901
4.5	-23.1081592964	-6.27348903339	-9.0121476509	0.3009825	-0.334234444444	0.718129783951
4.55	-23.4397718543	-6.79708780911	-4.88584454364	0.2834895	-0.278020555556	1.65264598765
4.6	-23.8062909972	-6.91344309261	2.24630338657	0.270284	-0.160066666667	2.36315354938
4.65	-24.1553568476	-6.51589587439	8.12870938472	0.266168	-0.0132436111111	2.47187608025
4.7	-24.469516113	-5.86624554172	9.2330072167	0.270284	0.110236388889	2.06308148148
4.75	-24.7313155008	-5.40082440767	6.2864174009	0.278859	0.197320277778	1.49729027778
4.8	-24.9931148886	-5.25538030322	3.19438347969	0.2910355	0.2563925	0.974056481481
4.85	-25.2549142764	-5.18750638772	1.79919744247	0.3054415	0.291073611111	0.533396759259
4.9	-25.5167136642	-5.0808473775	0.608710512037	0.3208765	0.306699166667	0.162925
4.95	-25.7610597594	-5.04206228311	-1.70223470608	0.3366545	0.306889722222	-0.192831635802
5	-26.0054058547	-5.27477285044	-3.1943834821	0.352261	0.288882222222	-0.571349074074
5.05	-26.284658535	-5.55596478583	-1.07736373904	0.366324	0.250771111111	-0.952936574074
5.1	-26.5813645079	-5.46869832333	2.65031479151	0.378329	0.190555555556	-1.25057376543
5.15	-26.8431638957	-5.1487212935	3.87850945355	0.3860465	0.116143611111	-1.34796882716
5.2	-27.087509991	-4.95479582061	2.5641256938	0.3894765	0.0485916666667	-1.29101388889
5.25	-27.3318560862	-4.89661817889	0.910372354167	0.3905055	-0.0116238888889	-1.23416481481
5.3	-27.5762021815	-4.89661817939	-0.215472750339	0.3884475	-0.0726016666667	-1.20738117284
5.35	-27.8205482768	-4.92570700033	-1.0288823667	0.3833025	-0.133674722222	-1.15667222222
5.4	-28.0648943721	-5.02266973633	-1.42212012707	0.374899	-0.190746111111	-1.0545132716
5.45	-28.3266937599	-5.07115110394	-1.82074471157	0.363923	-0.240671666667	-0.909426388889
5.5	-28.5710398551	-5.148721293	-3.2428648488	0.350546	-0.282975	-0.719241358025
5.55	-28.8328392429	-5.39112813428	-4.88584454503	0.3352825	-0.315655277778	-0.438754166667
5.6	-29.1120919233	-5.64323124839	-6.36183285651	0.3184755	-0.3335675	0.0131800925926
5.65	-29.3913446036	-6.021385919	-7.37994158661	0.3009825	-0.3249925	0.700238734568
5.7	-29.7055038689	-6.51589587372	-5.39759231787	0.2841755	-0.272208611111	1.5436587963
5.75	-30.0545697193	-6.748606441	0.226246380617	0.271313	-0.165211666667	2.23442268519
5.8	-30.4036355697	-6.50619960072	6.14636011062	0.266168	-0.0261061111111	2.42492530864
5.85	-30.7177948351	-5.97290455144	8.93134537	0.269255	0.102518888889	2.06392839506
5.9	-30.9970475154	-5.46869832294	8.50039987522	0.2783445	0.190936666667	1.43869444444
5.95	-31.2588469032	-5.08084737822	6.6042396996	0.2900065	0.240862222222	0.88449537037
6	-31.5031929985	-4.78026289606	3.82464126367	0.3030405	0.271255833333	0.4930625
6.05	-31.7300858013	-4.65421133861	0.280114574043	0.317618	0.2872625	0.186850308642
6.1	-31.956978604	-4.77056662194	-2.75805116327	0.332367	0.288882222222	-0.0842149691358
